央视IPV4,#genre#
金色学堂,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000010000026105/index.m3u8?channel-id=bestzb&Contentid=5000000010000026105&livemode=1&stbId=hw
劲爆体育,http://[2409:8087:5e20:24::d]:6610/000000001000/1/5000000002000029972/index.m3u8?channel-id=bestzb&Contentid=5000000002000029972&livemode=1&stbId=hw
五星体育,http://[2409:8087:5e20:24::d]:6610/000000001000/1/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=hw
魅力足球,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031207/index.m3u8?channel-id=bestzb&Contentid=5000000011000031207&livemode=1&stbId=hw
财富天下,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031208/index.m3u8?channel-id=bestzb&Contentid=5000000011000031208&livemode=1&stbId=hw
茶艺频道,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031209/index.m3u8?channel-id=bestzb&Contentid=5000000011000031209&livemode=1&stbId=hw
快乐垂钓,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031206/index.m3u8?channel-id=bestzb&Contentid=5000000011000031206&livemode=1&stbId=hw
金鹰纪实,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031203/index.m3u8?channel-id=bestzb&Contentid=5000000011000031203&livemode=1&stbId=hw
金鹰卡通,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000006000040024/index.m3u8?channel-id=bestzb&Contentid=5000000006000040024&livemode=1&stbId=hw
嘉佳卡通,http://[2409:8087:5e20:24::d]:6610/000000001000/4739906347743456369/index.m3u8?channel-id=bestzb&Contentid=4739906347743456369&livemode=1&stbId=hw
生活时尚,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000002000019634/index.m3u8?channel-id=bestzb&Contentid=5000000002000019634&livemode=1&stbId=hw
家庭理财,http://[2409:8087:5e20:24::d]:6610/000000001000/5000000011000031210/index.m3u8?channel-id=bestzb&Contentid=5000000011000031210&livemode=1&stbId=hw
潮妈辣婆,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000018/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000018&livemode=1&stbId=3
爱情喜剧,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000010/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000010&livemode=1&stbId=3
古装剧场,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000024/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000024&livemode=1&stbId=3
军旅剧场,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000014/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000014&livemode=1&stbId=3
军事评论,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000022/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000022&livemode=1&stbId=3
农业致富,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000003/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000003&livemode=1&stbId=3
武博世界,http://[2409:8087:5e20:24::d]:6610/000000001000/2000000003000000007/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000007&livemode=1&stbId=3
